"ID","Title","Case ID","Run ID","Status"
"T26843989","Test if PAAR messages are sent during begin of installation successfully","C1060114","R47995","Untested"
"T26844224","Test if PAAR messages are sent during end of installation successfully","C1078966","R47995","Untested"
"T26843990","Test if PAAR messages are sent during uninstallation successfully","C1060115","R47995","Untested"
"T26843993","Test if ""osid"" parameter for Windows is correct","C1060118","R47995","Untested"
"T26844091","Test if signed build is displayed at UAC","C1060216","R47995","Untested"
"T26844234","Test if setup is signed","C1122024","R47995","Untested"
"T26844236","Test if exe files are signed","C1122026","R47995","Untested"
"T26844092","Test if the installer can be run only in one instance","C1060217","R47995","Untested"
"T26844454","Test if the correct version number is displayed in the ""License Agreement"" window","C1795951","R47995","Untested"
"T26844094","Test if installation of the browser successful","C1060219","R47995","Untested"
"T26844095","Test if ""Cancel"" button works correctly on licence agreement of installation wizard","C1060220","R47995","Untested"
"T26844096","Test if ""Cancel"" button works correctly on install location window of installation wizard","C1060221","R47995","Untested"
"T26844097","Test if version number of the browser is displayed at installation wizard","C1060222","R47995","Untested"
"T26844098","Test if the “Run Comodo IceDragon” option functions correctly at the end of the setup","C1060223","R47995","Untested"
"T26844314","Test if the “Run Comodo IceDragon” option turned off successfully at the end of the setup","C1320825","R47995","Untested"
"T26844452","Test if COMODO IceDragon is launched full-screen at first run","C1795946","R47995","Untested"
"T26844099","Test if the browser is installed in the default install location","C1060224","R47995","Untested"
"T26844100","Test if the browser is installed in folder specified by user","C1060225","R47995","Untested"
"T26844101","Test if desktop shortcut is created after installation","C1060226","R47995","Untested"
"T26844102","Test if start menu shortcut is created after installation","C1060227","R47995","Untested"
"T26844312","Test if repair of IceDragon works successfully","C1320823","R47995","Untested"
"T26844485","Test if the correct EULA is displayed","C2219407","R47995","Untested"
"T26843994","Test if portable version installation is successful","C1060119","R47995","Untested"
"T26843995","Test if portable version works correctly","C1060120","R47995","Untested"
"T26843996","Test if registry key is not written in registry key list of the PC","C1060121","R47995","Untested"
