"ID","Title","Case ID"
"T28549961","Installation (Chromodo)","C1649046"
"T28549963","Automatic update of plugin (Chromodo)","C1649079"
"T28549965","Manual update of plugin (Chromodo)","C1649092"
"T28549964","Removing by clicking on trash bin icon (Chromodo)","C1649080"
"T28549966","Removing by clicking on Remove button from Details popup (Chromodo)","C1649100"
"T28549972","Removing using the context menu of icon (Chromodo)","C1656312"
"T28549962","Toolbar Icon (Chromodo)","C1649050"
"T28549968","Options tab (Chromodo)","C1649103"
"T28549974","Context menu (Chromodo)","C1656322"
"T28549981","Drop-down menu (Chromodo)","C1656380"
"T28549982","Check that user is able to show or hide the number of blocked ads in icon (Chromodo)","C1656382"
"T28549967","Check that user is able to change filters in Comodo AdBlocker (Chromodo)","C1649102"
"T28549980","Check that user is able to disable Comodo AdBlocker for specified sites (using left-click menu)","C1656379"
"T28549970","Check that user is able to disable Comodo AdBlocker for specified sites (using Option page)(Chromodo)","C1649396"
"T28549971","Check that user is able to hide Comodo AdBlocker icon from toolbar(Chromodo)","C1650641"
"T28549975","Check that Block Element options is available from right-click menu (Chromodo)","C1656325"
"T28549976","Check that Block Element options is unavailable from right-click menu (Chromodo)","C1656326"
"T28549983","Check that user is able to block ads manually (Chromodo)","C1656384"
"T28549997","Check that user is able to update filter (Chromodo)","C1659287"
"T28549998","Check that user is able to add your own filters (Chromodo)","C1659288"
"T28550005","Check that only English language is available in interface (Chromodo)","C1808781"
